# OpenTelemetry Metrics report: .gz, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See BasicCsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.hits,1689331467513000000,1689331527609000000,3
FilePageCache.capacityInBytes,1689331467513000000,1689331527609000000,524288000
FilePageCache.pageLoads,1689331467513000000,1689331527609000000,284
StorageLockContext.competingThreads.90P,1689331467513000000,1689331527609000000,0
FilePageCache.pageHits,1689331467513000000,1689331527609000000,14
FilePageCache.pageFastCacheHits,1689331467513000000,1689331527609000000,17987
FilePageCache.maxRegisteredFiles,1689331467513000000,1689331527609000000,614
DirectByteBufferAllocator.reclaimed,1689331467513000000,1689331527609000000,3
FilePageCache.totalPageDisposalsUs,1689331467513000000,1689331527609000000,3588
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1689331467513000000,1689331527609000000,0
StorageLockContext.competingThreads.max,1689331467513000000,1689331527609000000,1
FilePageCache.pageLoadsAboveSizeThreshold,1689331467513000000,1689331527609000000,0
DirectByteBufferAllocator.misses,1689331467513000000,1689331527609000000,281
FilePageCache.totalPageLoadsUs,1689331467513000000,1689331527609000000,3837215
DirectByteBufferAllocator.disposed,1689331467513000000,1689331527609000000,0
FilePageCache.uncachedFileAccess,1689331467513000000,1689331527609000000,138
StorageLockContext.competingThreads.avg,1689331467513000000,1689331527609000000,0.07792207792207792
FilePageCache.maxCacheSizeInBytes,1689331467513000000,1689331527609000000,265592832
FilePageCache.disposedBuffers,1689331467513000000,1689331527609000000,3
FlushQueue.executionTimeAvgNs,1689331467513000000,1689331527609000000,1.3268237174025974E8
AWTEventQueue.dispatchTimeAvgNs,1689331467513000000,1689331527609000000,2.3913951549295774E8
FlushQueue.executionTime90PNs,1689331467513000000,1689331527609000000,216006655
AWTEventQueue.dispatchTime90PNs,1689331467513000000,1689331527609000000,141557759
FlushQueue.queueSizeMax,1689331467513000000,1689331527609000000,11
FlushQueue.queueSizeAvg,1689331467513000000,1689331527609000000,4.818181818181818
FlushQueue.tasksExecuted,1689331467513000000,1689331527609000000,77
FlushQueue.waitingTime90PNs,1689331467513000000,1689331527609000000,1258291199
FlushQueue.waitingTimeMaxNs,1689331467513000000,1689331527609000000,2919235583
AWTEventQueue.eventsDispatched,1689331467513000000,1689331527609000000,142
FlushQueue.waitingTimeAvgNs,1689331467513000000,1689331527609000000,5.84707185038961E8
FlushQueue.queueSize90P,1689331467513000000,1689331527609000000,10
AWTEventQueue.dispatchTimeMaxNs,1689331467513000000,1689331527609000000,22414360575
FlushQueue.executionTimeMaxNs,1689331467513000000,1689331527609000000,6140461055
FileNameCache.queries,1689331467513000000,1689331527609000000,9492
FileNameCache.totalMisses,1689331467513000000,1689331527609000000,101
FileNameCache.fastMisses,1689331467513000000,1689331527609000000,237
DirectByteBufferAllocator.hits,1689331527609000000,1689331587594000000,0
FilePageCache.capacityInBytes,1689331527609000000,1689331587594000000,524288000
FilePageCache.pageLoads,1689331527609000000,1689331587594000000,107
StorageLockContext.competingThreads.90P,1689331527609000000,1689331587594000000,0
FilePageCache.pageHits,1689331527609000000,1689331587594000000,546
FilePageCache.pageFastCacheHits,1689331527609000000,1689331587594000000,23879
FilePageCache.maxRegisteredFiles,1689331527609000000,1689331587594000000,651
DirectByteBufferAllocator.reclaimed,1689331527609000000,1689331587594000000,0
FilePageCache.totalPageDisposalsUs,1689331527609000000,1689331587594000000,1739
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1689331527609000000,1689331587594000000,0
StorageLockContext.competingThreads.max,1689331527609000000,1689331587594000000,1
FilePageCache.pageLoadsAboveSizeThreshold,1689331527609000000,1689331587594000000,0
DirectByteBufferAllocator.misses,1689331527609000000,1689331587594000000,107
FilePageCache.totalPageLoadsUs,1689331527609000000,1689331587594000000,3325103
DirectByteBufferAllocator.disposed,1689331527609000000,1689331587594000000,0
FilePageCache.uncachedFileAccess,1689331527609000000,1689331587594000000,17
StorageLockContext.competingThreads.avg,1689331527609000000,1689331587594000000,0.035398230088495575
FilePageCache.maxCacheSizeInBytes,1689331527609000000,1689331587594000000,285196288
FilePageCache.disposedBuffers,1689331527609000000,1689331587594000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1689331527609000000,1689331587594000000,10018892
FlushQueue.executionTimeAvgNs,1689331527609000000,1689331587594000000,8.448499957219252E7
AWTEventQueue.dispatchTimeAvgNs,1689331527609000000,1689331587594000000,9.71292934144E7
FlushQueue.executionTime90PNs,1689331527609000000,1689331587594000000,18481151
AWTEventQueue.dispatchTime90PNs,1689331527609000000,1689331587594000000,72876031
FlushQueue.queueSizeMax,1689331527609000000,1689331587594000000,156
FlushQueue.queueSizeAvg,1689331527609000000,1689331587594000000,52.09090909090909
FlushQueue.tasksExecuted,1689331527609000000,1689331587594000000,561
FlushQueue.waitingTime90PNs,1689331527609000000,1689331587594000000,36507222015
NonBlockingReadAction.finalizedExecutionsCount,1689331527609000000,1689331587594000000,25
FlushQueue.waitingTimeMaxNs,1689331527609000000,1689331587594000000,40802189311
AWTEventQueue.eventsDispatched,1689331527609000000,1689331587594000000,625
FlushQueue.waitingTimeAvgNs,1689331527609000000,1689331587594000000,1.2065860466538324E10
NonBlockingReadAction.failedExecutionsCount,1689331527609000000,1689331587594000000,4
NonBlockingReadAction.failedExecutionTimeUs,1689331527609000000,1689331587594000000,2871530
FlushQueue.queueSize90P,1689331527609000000,1689331587594000000,121
AWTEventQueue.dispatchTimeMaxNs,1689331527609000000,1689331587594000000,29527900159
